instrument_name,strike,expiration_date,volume,option_type
BTC-18MAR25-86000-C,86000.0,2025-03-18,359.5,call
BTC-17MAR25-87000-C,87000.0,2025-03-17,229.1,call
BTC-19MAR25-87000-C,87000.0,2025-03-19,216.4,call
BTC-4APR25-94000-C,94000.0,2025-04-04,203.1,call
BTC-4APR25-90000-C,90000.0,2025-04-04,137.8,call
BTC-28MAR25-80000-P,80000.0,2025-03-28,69.2,put
BTC-17MAR25-79000-P,79000.0,2025-03-17,58.4,put
BTC-17MAR25-80000-P,80000.0,2025-03-17,50.6,put
BTC-25APR25-82000-P,82000.0,2025-04-25,46.4,put
BTC-18MAR25-84000-P,84000.0,2025-03-18,45.0,put
